------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                                                                                                 DescribeStackEvents                                                                                                                                                                |
+----------------------------------+-----------------------------+-----------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  2025-02-24T13:38:03.452000+00:00|  AWS::CloudFormation::Stack |  ROLLBACK_COMPLETE    |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:38:03.194000+00:00|  AWS::CloudFormation::Stack |  DELETE_COMPLETE      |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:37:52.556000+00:00|  AWS::CloudFormation::Stack |  DELETE_IN_PROGRESS   |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:37:52.245000+00:00|  AWS::CloudFormation::Stack |  DELETE_COMPLETE      |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:37:52.155000+00:00|  AWS::CloudFormation::Stack |  DELETE_COMPLETE      |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:37:41.579000+00:00|  AWS::CloudFormation::Stack |  DELETE_IN_PROGRESS   |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:37:41.561000+00:00|  AWS::CloudFormation::Stack |  DELETE_IN_PROGRESS   |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:37:41.283000+00:00|  AWS::CloudFormation::Stack |  DELETE_COMPLETE      |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:35:59.764000+00:00|  AWS::CloudFormation::Stack |  DELETE_COMPLETE      |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:35:49.144000+00:00|  AWS::CloudFormation::Stack |  DELETE_IN_PROGRESS   |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:35:48.822000+00:00|  AWS::CloudFormation::Stack |  DELETE_COMPLETE      |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:35:26.965000+00:00|  AWS::CloudFormation::Stack |  DELETE_IN_PROGRESS   |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:35:26.948000+00:00|  AWS::CloudFormation::Stack |  DELETE_IN_PROGRESS   |  None                                                                                                                                                                                                                                                     |
|  2025-02-24T13:35:25.343000+00:00|  AWS::CloudFormation::Stack |  ROLLBACK_IN_PROGRESS |  The following resource(s) failed to create: [EC2Stack, RouteTableStack]. Rollback requested by user.                                                                                                                                                     |
|  2025-02-24T13:35:24.978000+00:00|  AWS::CloudFormation::Stack |  CREATE_FAILED        |  Resource creation cancelled                                                                                                                                                                                                                              |
